DESIGNATION,Project_name,Department,Resource,Project_Name,Department.1,Access
DESIGNER,P3,DEVELOPMENT,PROJECT_DETAIL,P3,DEVELOPMENT,YES
DESIGNER,P3,DEVELOPMENT,EMP_DETAIL,P3,DEVELOPMENT,NO
DESIGNER,P3,DEVELOPMENT,SALARY_DETAIL,P3,HR,NO
DESIGNER,P3,DEVELOPMENT,SERVER,P3,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PRINCIPAL,NotA,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PRINCIPAL,NotA,DEVELOPMENT,CLIENT_DETAIL,P1,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,CLIENT_DETAIL,P2,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,PROJECT_COST,P1,FINANCE,YES
PRINCIPAL,NotA,DEVELOPMENT,PROJECT_COST,P2,FINANCE,YES
PRINCIPAL,NotA,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
PROGRAMMER,P3,DEVELOPMENT,PROJECT_DETAIL,P3,DEVELOPMENT,YES
PROGRAMMER,P3,DEVELOPMENT,SERVER,P3,TECHNICAL,YES
PROGRAMMER,P3,DEVELOPMENT,DATABASE,P3,TECHNICAL,YES
PROJECT_LEADER,NotA,DEVELOPMENT,SALARY_DETAIL,P3,HR,NO
PROJECT_LEADER,NotA,DEVELOPMENT,CLIENT_DETAIL,P3,HR,YES
PROJECT_LEADER,NotA,DEVELOPMENT,EMP_DETAIL,P3,DEVELOPMENT,YES
PROJECT_LEADER,NotA,DEVELOPMENT,PROJECT_DETAIL,P3,DEVELOPMENT,YES
PROJECT_LEADER,NotA,DEVELOPMENT,PROJECT_COST,P3,FINANCE,YES
PROJECT_LEADER,NotA,DEVELOPMENT,SERVER,P3,TECHNICAL,YES
PROJECT_LEADER,NotA,DEVELOPMENT,PF_DETAIL,P1,HR,NO
PROJECT_LEADER,NotA,DEVELOPMENT,PF_DETAIL,P2,HR,NO
PROJECT_LEADER,NotA,DEVELOPMENT,FINANCE_REPORT,P1,FINANCE,YES
PROJECT_LEADER,NotA,DEVELOPMENT,FINANCE_REPORT,P2,FINANCE,YES
PROJECT_MANAGER,P3,DEVELOPMENT,PROJECT_DETAIL,P3,DEVELOPMENT,YES
PROJECT_MANAGER,P3,DEVELOPMENT,EMP_DETAIL,P3,DEVELOPMENT,YES
PROJECT_MANAGER,P3,DEVELOPMENT,SALARY_DETAIL,P3,HR,NO
PROJECT_MANAGER,P3,DEVELOPMENT,PROJECT_COST,P3,FINANCE,YES
PROJECT_MANAGER,P3,DEVELOPMENT,SERVER,P3,TECHNICAL,YES
PROJECT_MANAGER,P3,DEVELOPMENT,DATABASE,P3,TECHNICAL,YES
PROJECT_MANAGER,P3,DEVELOPMENT,NETWORK_SETUP,P3,TECHNICAL,YES
SDE,P3,DEVELOPMENT,PROJECT_DETAIL,P3,DEVELOPMENT,YES
SDE,P3,DEVELOPMENT,SERVER,P3,TECHNICAL,YES
SDE,P3,DEVELOPMENT,DATABASE,P3,TECHNICAL,YES
