Designation,Post,Course,Department,Degree,Year,Type,Department.1,Course.1,Degree.1,Year.1,Access
Stud,Undergraduate,CSE_31,CSE,BTech,4,assgn,CSE,CSE_31,BTech,4,Yes
Stud,Undergraduate,CSE_31,CSE,BTech,4,mids_paper,CSE,CSE_31,BTech,4,Yes
Stud,Undergraduate,CSE_31,CSE,BTech,4,compre_paper,CSE,CSE_31,BTech,4,Yes
Stud,Undergraduate,CSE_31,CSE,BTech,4,result,CSE,CSE_31,BTech,4,Yes
Faculty,Associate,CSE_31,CSE,NotA,-1,assgn,CSE,CSE_31,BTech,4,Yes
Faculty,Associate,CSE_31,CSE,NotA,-1,mids_paper,CSE,CSE_31,BTech,4,Yes
Faculty,Associate,CSE_31,CSE,NotA,-1,compre_paper,CSE,CSE_31,BTech,4,Yes
Faculty,Associate,CSE_31,CSE,NotA,-1,answer_sheet,CSE,CSE_31,BTech,4,Yes
Faculty,Associate,CSE_31,CSE,NotA,-1,result,CSE,CSE_31,BTech,4,Yes
Stud,Undergraduate,Mech_31,Mech,BTech,4,assgn,Mech,Mech_31,BTech,4,Yes
Stud,Undergraduate,Mech_31,Mech,BTech,4,mids_paper,Mech,Mech_31,BTech,4,Yes
Stud,Undergraduate,Mech_31,Mech,BTech,4,compre_paper,Mech,Mech_31,BTech,4,Yes
Stud,Undergraduate,Mech_31,Mech,BTech,4,result,Mech,Mech_31,BTech,4,Yes
Faculty,Associate,Mech_31,Mech,NotA,-1,assgn,Mech,Mech_31,BTech,4,Yes
Faculty,Associate,Mech_31,Mech,NotA,-1,mids_paper,Mech,Mech_31,BTech,4,Yes
Faculty,Associate,Mech_31,Mech,NotA,-1,compre_paper,Mech,Mech_31,BTech,4,Yes
Faculty,Associate,Mech_31,Mech,NotA,-1,answer_sheet,Mech,Mech_31,BTech,4,Yes
Faculty,Associate,Mech_31,Mech,NotA,-1,result,Mech,Mech_31,BTech,4,Yes
Faculty,Temporary,ECE_6,CE,NotA,-1,assgn,CE,ECE_6,BTech,2,Yes
Faculty,Temporary,ECE_6,CE,NotA,-1,mids_paper,CE,ECE_6,BTech,2,Yes
Faculty,Temporary,ECE_6,CE,NotA,-1,compre_paper,CE,ECE_6,BTech,2,Yes
Faculty,Temporary,ECE_6,CE,NotA,-1,answer_sheet,CE,ECE_6,BTech,2,Yes
Faculty,Temporary,ECE_6,CE,NotA,-1,result,CE,ECE_6,BTech,2,Yes
Faculty,Temporary,ECE_6,CE,NotA,-1,assgn,CE,CSE_6,BTech,2,No
Faculty,Temporary,ECE_6,CE,NotA,-1,assgn,CE,CSE_7,BTech,2,No
Faculty,Temporary,ECE_6,CE,NotA,-1,assgn,CE,CSE_8,BTech,2,No
Faculty,Temporary,ECE_6,CE,NotA,-1,assgn,CE,CSE_9,BTech,2,No
Faculty,Temporary,ECE_6,CE,NotA,-1,assgn,CE,CSE_10,BTech,2,No
Faculty,Temporary,ECE_6,CE,NotA,-1,assgn,CE,CSE_11,BTech,3,No
Faculty,Temporary,ECE_6,CE,NotA,-1,assgn,CE,CSE_16,BTech,4,No
Stud,Undergraduate,IT_1,IT,BTech,1,assgn,IT,IT_1,BTech,1,Yes
Stud,Undergraduate,IT_2,IT,BTech,1,assgn,IT,IT_2,BTech,1,Yes
Stud,Undergraduate,IT_3,IT,BTech,1,assgn,IT,IT_3,BTech,1,Yes
Stud,Undergraduate,IT_4,IT,BTech,1,assgn,IT,IT_4,BTech,1,Yes
Stud,Undergraduate,IT_5,IT,BTech,1,assgn,IT,IT_5,BTech,1,Yes
Stud,Undergraduate,IT_6,IT,BTech,2,assgn,IT,IT_6,BTech,2,Yes
Stud,Undergraduate,IT_7,IT,BTech,2,assgn,IT,IT_7,BTech,2,Yes
Stud,Undergraduate,IT_8,IT,BTech,2,assgn,IT,IT_8,BTech,2,Yes
Stud,Undergraduate,IT_9,IT,BTech,2,assgn,IT,IT_9,BTech,2,Yes
Stud,Undergraduate,IT_10,IT,BTech,2,assgn,IT,IT_10,BTech,2,Yes
Stud,Undergraduate,IT_11,IT,BTech,3,assgn,IT,IT_11,BTech,3,Yes
Stud,Undergraduate,IT_12,IT,BTech,3,assgn,IT,IT_12,BTech,3,Yes
Stud,Undergraduate,IT_13,IT,BTech,3,assgn,IT,IT_13,BTech,3,Yes
Stud,Undergraduate,IT_14,IT,BTech,3,assgn,IT,IT_14,BTech,3,Yes
Stud,Undergraduate,IT_15,IT,BTech,3,assgn,IT,IT_15,BTech,3,Yes
Stud,Undergraduate,IT_16,IT,BTech,4,assgn,IT,IT_16,BTech,4,Yes
Stud,Undergraduate,IT_17,IT,BTech,4,assgn,IT,IT_17,BTech,4,Yes
Stud,Undergraduate,IT_18,IT,BTech,4,assgn,IT,IT_18,BTech,4,Yes
Stud,Undergraduate,IT_19,IT,BTech,4,assgn,IT,IT_19,BTech,4,Yes
Stud,Undergraduate,IT_20,IT,BTech,4,assgn,IT,IT_20,BTech,4,Yes
Stud,Undergraduate,IT_1,IT,BTech,1,mids_paper,IT,IT_1,BTech,1,Yes
Stud,Undergraduate,IT_2,IT,BTech,1,mids_paper,IT,IT_2,BTech,1,Yes
Stud,Undergraduate,IT_3,IT,BTech,1,mids_paper,IT,IT_3,BTech,1,Yes
Stud,Undergraduate,IT_4,IT,BTech,1,mids_paper,IT,IT_4,BTech,1,Yes
Stud,Undergraduate,IT_5,IT,BTech,1,mids_paper,IT,IT_5,BTech,1,Yes
Stud,Undergraduate,IT_6,IT,BTech,2,mids_paper,IT,IT_6,BTech,2,Yes
Stud,Undergraduate,IT_7,IT,BTech,2,mids_paper,IT,IT_7,BTech,2,Yes
Stud,Undergraduate,IT_8,IT,BTech,2,mids_paper,IT,IT_8,BTech,2,Yes
Stud,Undergraduate,IT_9,IT,BTech,2,mids_paper,IT,IT_9,BTech,2,Yes
Stud,Undergraduate,IT_10,IT,BTech,2,mids_paper,IT,IT_10,BTech,2,Yes
Stud,Undergraduate,IT_11,IT,BTech,3,mids_paper,IT,IT_11,BTech,3,Yes
Stud,Undergraduate,IT_12,IT,BTech,3,mids_paper,IT,IT_12,BTech,3,Yes
Stud,Undergraduate,IT_13,IT,BTech,3,mids_paper,IT,IT_13,BTech,3,Yes
Stud,Undergraduate,IT_14,IT,BTech,3,mids_paper,IT,IT_14,BTech,3,Yes
Stud,Undergraduate,IT_15,IT,BTech,3,mids_paper,IT,IT_15,BTech,3,Yes
Stud,Undergraduate,IT_16,IT,BTech,4,mids_paper,IT,IT_16,BTech,4,Yes
Stud,Undergraduate,IT_17,IT,BTech,4,mids_paper,IT,IT_17,BTech,4,Yes
Stud,Undergraduate,IT_18,IT,BTech,4,mids_paper,IT,IT_18,BTech,4,Yes
Stud,Undergraduate,IT_19,IT,BTech,4,mids_paper,IT,IT_19,BTech,4,Yes
Stud,Undergraduate,IT_20,IT,BTech,4,mids_paper,IT,IT_20,BTech,4,Yes
