Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
vis_prof,cse,NotA,NotA,q_pr,cse,btech,1,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,btech,1,Yes
vis_prof,me,NotA,NotA,q_pr,me,btech,1,Yes
vis_prof,ece,NotA,NotA,q_pr,ece,btech,1,Yes
vis_prof,cse,NotA,NotA,q_pr,cse,btech,2,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,btech,2,Yes
vis_prof,me,NotA,NotA,q_pr,me,btech,2,Yes
vis_prof,ece,NotA,NotA,q_pr,ece,btech,2,Yes
vis_prof,cse,NotA,NotA,q_pr,cse,btech,3,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,btech,3,Yes
vis_prof,me,NotA,NotA,q_pr,me,btech,3,Yes
vis_prof,ece,NotA,NotA,q_pr,ece,btech,3,Yes
vis_prof,cse,NotA,NotA,q_pr,cse,btech,4,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,btech,4,Yes
vis_prof,me,NotA,NotA,q_pr,me,btech,4,Yes
vis_prof,ece,NotA,NotA,q_pr,ece,btech,4,Yes
vis_prof,cse,NotA,NotA,q_pr,cse,mtech,1,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,mtech,1,Yes
vis_prof,me,NotA,NotA,q_pr,me,mtech,1,Yes
vis_prof,ece,NotA,NotA,q_pr,ece,mtech,1,Yes
vis_prof,cse,NotA,NotA,q_pr,cse,mtech,2,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,mtech,2,Yes
vis_prof,me,NotA,NotA,q_pr,me,mtech,2,Yes
vis_prof,ece,NotA,NotA,q_pr,ece,mtech,2,Yes
vis_prof,cse,NotA,NotA,asgn,cse,btech,1,Yes
vis_prof,ce,NotA,NotA,asgn,ce,btech,1,Yes
vis_prof,me,NotA,NotA,asgn,me,btech,1,Yes
vis_prof,ece,NotA,NotA,asgn,ece,btech,1,Yes
vis_prof,cse,NotA,NotA,asgn,cse,btech,2,Yes
vis_prof,ce,NotA,NotA,asgn,ce,btech,2,Yes
vis_prof,me,NotA,NotA,asgn,me,btech,2,Yes
vis_prof,ece,NotA,NotA,asgn,ece,btech,2,Yes
vis_prof,cse,NotA,NotA,asgn,cse,btech,3,Yes
vis_prof,ce,NotA,NotA,asgn,ce,btech,3,Yes
vis_prof,me,NotA,NotA,asgn,me,btech,3,Yes
vis_prof,ece,NotA,NotA,asgn,ece,btech,3,Yes
vis_prof,cse,NotA,NotA,asgn,cse,btech,4,Yes
vis_prof,ce,NotA,NotA,asgn,ce,btech,4,Yes
vis_prof,me,NotA,NotA,asgn,me,btech,4,Yes
vis_prof,ece,NotA,NotA,asgn,ece,btech,4,Yes
vis_prof,cse,NotA,NotA,asgn,cse,mtech,1,Yes
vis_prof,ce,NotA,NotA,asgn,ce,mtech,1,Yes
vis_prof,me,NotA,NotA,asgn,me,mtech,1,Yes
vis_prof,ece,NotA,NotA,asgn,ece,mtech,1,Yes
vis_prof,cse,NotA,NotA,asgn,cse,mtech,2,Yes
vis_prof,ce,NotA,NotA,asgn,ce,mtech,2,Yes
vis_prof,me,NotA,NotA,asgn,me,mtech,2,Yes
vis_prof,ece,NotA,NotA,asgn,ece,mtech,2,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,btech,1,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,btech,1,Yes
adj_prof,me,NotA,NotA,q_pr,me,btech,1,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,btech,1,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,btech,2,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,btech,2,Yes
adj_prof,me,NotA,NotA,q_pr,me,btech,2,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,btech,2,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,btech,3,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,btech,3,Yes
adj_prof,me,NotA,NotA,q_pr,me,btech,3,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,btech,3,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,btech,4,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,btech,4,Yes
adj_prof,me,NotA,NotA,q_pr,me,btech,4,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,btech,4,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,mtech,1,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,mtech,1,Yes
adj_prof,me,NotA,NotA,q_pr,me,mtech,1,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,mtech,1,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,mtech,2,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,mtech,2,Yes
adj_prof,me,NotA,NotA,q_pr,me,mtech,2,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,mtech,2,Yes
adj_prof,cse,NotA,NotA,asgn,cse,btech,1,Yes
adj_prof,ce,NotA,NotA,asgn,ce,btech,1,Yes
adj_prof,me,NotA,NotA,asgn,me,btech,1,Yes
adj_prof,ece,NotA,NotA,asgn,ece,btech,1,Yes
adj_prof,cse,NotA,NotA,asgn,cse,btech,2,Yes
adj_prof,ce,NotA,NotA,asgn,ce,btech,2,Yes
adj_prof,me,NotA,NotA,asgn,me,btech,2,Yes
adj_prof,ece,NotA,NotA,asgn,ece,btech,2,Yes
adj_prof,cse,NotA,NotA,asgn,cse,btech,3,Yes
adj_prof,ce,NotA,NotA,asgn,ce,btech,3,Yes
adj_prof,me,NotA,NotA,asgn,me,btech,3,Yes
adj_prof,ece,NotA,NotA,asgn,ece,btech,3,Yes
adj_prof,cse,NotA,NotA,asgn,cse,btech,4,Yes
adj_prof,ce,NotA,NotA,asgn,ce,btech,4,Yes
adj_prof,me,NotA,NotA,asgn,me,btech,4,Yes
adj_prof,ece,NotA,NotA,asgn,ece,btech,4,Yes
adj_prof,cse,NotA,NotA,asgn,cse,mtech,1,Yes
