DESIGNATION,Project_name,Department,Resource,Project_Name,Department,Access
HR MANAGER,NotA,HR,SALARY_DETAIL,P1,HR,YES
HR MANAGER,NotA,HR,SALARY_DETAIL,P2,HR,YES
HR MANAGER,NotA,HR,CLIENT_DETAIL,P1,HR,YES
HR MANAGER,NotA,HR,CLIENT_DETAIL,P2,HR,YES
HR MANAGER,NotA,HR,EMP_DETAIL,P1,DEVELOPMENT,NO
HR MANAGER,NotA,HR,EMP_DETAIL,P2,DEVELOPMENT,NO
HR MANAGER,NotA,HR,PROJECT_DETAIL,P1,DEVELOPMENT,NO
HR MANAGER,NotA,HR,PROJECT_DETAIL,P2,DEVELOPMENT,NO
HR MANAGER,NotA,HR,PROJECT_COST,P1,FINANCE,NO
HR MANAGER,NotA,HR,PROJECT_COST,P2,FINANCE,NO
HR MANAGER,NotA,HR,SERVER,P1,TECHNICAL,NO
HR MANAGER,NotA,HR,SERVER,P2,TECHNICAL,NO
HR MANAGER,NotA,HR,DATABASE,P1,TECHNICAL,NO
HR MANAGER,NotA,HR,DATABASE,P2,TECHNICAL,NO
HR MANAGER,NotA,HR,NETWORK_SETUP,P1,TECHNICAL,NO
HR MANAGER,NotA,HR,NETWORK_SETUP,P2,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,PROJECT_COST,P1,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,PROJECT_COST,P2,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,EMP_DETAIL,P1,DEVELOPMENT,NO
FINANCE MANAGER,NotA,FINANCE,EMP_DETAIL,P2,DEVELOPMENT,NO
FINANCE MANAGER,NotA,FINANCE,SALARY_DETAIL,P1,HR,NO
FINANCE MANAGER,NotA,FINANCE,SALARY_DETAIL,P2,HR,NO
FINANCE MANAGER,NotA,FINANCE,CLIENT_DETAIL,P1,HR,NO
FINANCE MANAGER,NotA,FINANCE,CLIENT_DETAIL,P2,HR,NO
FINANCE MANAGER,NotA,FINANCE,PROJECT_DETAIL,P1,DEVELOPMENT,NO
FINANCE MANAGER,NotA,FINANCE,PROJECT_DETAIL,P2,DEVELOPMENT,NO
FINANCE MANAGER,NotA,FINANCE,SERVER,P1,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,SERVER,P2,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,DATABASE,P1,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,DATABASE,P2,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,NETWORK_SETUP,P1,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,NETWORK_SETUP,P2,TECHNICAL,NO
CTO,NotA,ADMINISTRATION,SERVER,P1,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,SERVER,P2,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,DATABASE,P1,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,DATABASE,P2,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,NETWORK_SETUP,P1,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,NETWORK_SETUP,P2,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,PROJECT_DETAIL,P1,DEVELOPMENT,YES
CTO,NotA,ADMINISTRATION,PROJECT_DETAIL,P2,DEVELOPMENT,YES
CTO,NotA,ADMINISTRATION,EMP_DETAIL,P1,DEVELOPMENT,NO
CTO,NotA,ADMINISTRATION,EMP_DETAIL,P2,DEVELOPMENT,NO
CTO,NotA,ADMINISTRATION,SALARY_DETAIL,P1,HR,NO
CTO,NotA,ADMINISTRATION,SALARY_DETAIL,P2,HR,NO
CTO,NotA,ADMINISTRATION,CLIENT_DETAIL,P1,HR,NO
CTO,NotA,ADMINISTRATION,CLIENT_DETAIL,P2,HR,NO
CTO,NotA,ADMINISTRATION,PROJECT_COST,P1,FINANCE,NO
CTO,NotA,ADMINISTRATION,PROJECT_COST,P2,FINANCE,NO
CEO,NotA,ADMINISTRATION,SALARY_DETAIL,P1,HR,YES
CEO,NotA,ADMINISTRATION,SALARY_DETAIL,P2,HR,YES
CEO,NotA,ADMINISTRATION,CLIENT_DETAIL,P1,HR,YES
CEO,NotA,ADMINISTRATION,CLIENT_DETAIL,P2,HR,YES
CEO,NotA,ADMINISTRATION,EMP_DETAIL,P1,DEVELOPMENT,YES
CEO,NotA,ADMINISTRATION,EMP_DETAIL,P2,DEVELOPMENT,YES
CEO,NotA,ADMINISTRATION,PROJECT_DETAIL,P1,DEVELOPMENT,YES
CEO,NotA,ADMINISTRATION,PROJECT_DETAIL,P2,DEVELOPMENT,YES
CEO,NotA,ADMINISTRATION,PROJECT_COST,P1,FINANCE,YES
CEO,NotA,ADMINISTRATION,PROJECT_COST,P2,FINANCE,YES
CEO,NotA,ADMINISTRATION,SERVER,P1,TECHNICAL,YES
CEO,NotA,ADMINISTRATION,SERVER,P2,TECHNICAL,YES
CEO,NotA,ADMINISTRATION,DATABASE,P1,TECHNICAL,YES
CEO,NotA,ADMINISTRATION,DATABASE,P2,TECHNICAL,YES
CEO,NotA,ADMINISTRATION,NETWORK_SETUP,P1,TECHNICAL,YES
CEO,NotA,ADMINISTRATION,NETWORK_SETUP,P2,TECHNICAL,YES
DESIGNER,P1,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
DESIGNER,P1,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
