Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
stu,IT,btech,1,asgn,IT,btech,1,Yes
stu,eni,btech,1,asgn,eni,btech,1,Yes
stu,pha,btech,1,asgn,pha,btech,1,Yes
stu,chem,btech,1,asgn,chem,btech,1,Yes
stu,IT,btech,2,asgn,IT,btech,1,No
stu,eni,btech,2,asgn,eni,btech,1,No
stu,pha,btech,2,asgn,pha,btech,1,No
stu,chem,btech,2,asgn,chem,btech,1,No
stu,IT,btech,2,asgn,IT,btech,2,Yes
stu,eni,btech,2,asgn,eni,btech,2,Yes
stu,pha,btech,2,asgn,pha,btech,2,Yes
stu,chem,btech,2,asgn,chem,btech,2,Yes
stu,IT,btech,3,asgn,IT,btech,1,No
stu,eni,btech,3,asgn,eni,btech,1,No
stu,pha,btech,3,asgn,pha,btech,1,No
stu,chem,btech,3,asgn,chem,btech,1,No
stu,IT,btech,3,asgn,IT,btech,2,No
stu,eni,btech,3,asgn,eni,btech,2,No
stu,pha,btech,3,asgn,pha,btech,2,No
stu,chem,btech,3,asgn,chem,btech,2,No
stu,IT,btech,3,asgn,IT,btech,3,Yes
stu,eni,btech,3,asgn,eni,btech,3,Yes
stu,pha,btech,3,asgn,pha,btech,3,Yes
stu,chem,btech,3,asgn,chem,btech,3,Yes
stu,IT,btech,4,asgn,IT,btech,1,No
stu,eni,btech,4,asgn,eni,btech,1,No
stu,pha,btech,4,asgn,pha,btech,1,No
stu,chem,btech,4,asgn,chem,btech,1,No
stu,IT,btech,4,asgn,IT,btech,2,No
stu,eni,btech,4,asgn,eni,btech,2,No
stu,pha,btech,4,asgn,pha,btech,2,No
stu,chem,btech,4,asgn,chem,btech,2,No
stu,IT,btech,4,asgn,IT,btech,3,No
stu,eni,btech,4,asgn,eni,btech,3,No
stu,pha,btech,4,asgn,pha,btech,3,No
stu,chem,btech,4,asgn,chem,btech,3,No
stu,IT,btech,4,asgn,IT,btech,4,Yes
stu,eni,btech,4,asgn,eni,btech,4,Yes
stu,pha,btech,4,asgn,pha,btech,4,Yes
stu,chem,btech,4,asgn,chem,btech,4,Yes
stu,IT,mtech,1,asgn,IT,mtech,1,Yes
stu,eni,mtech,1,asgn,eni,mtech,1,Yes
stu,pha,mtech,1,asgn,pha,mtech,1,Yes
stu,chem,mtech,1,asgn,chem,mtech,1,Yes
stu,IT,mtech,2,asgn,IT,mtech,1,No
stu,eni,mtech,2,asgn,eni,mtech,1,No
stu,pha,mtech,2,asgn,pha,mtech,1,No
stu,chem,mtech,2,asgn,chem,mtech,1,No
stu,IT,mtech,2,asgn,IT,mtech,2,Yes
stu,eni,mtech,2,asgn,eni,mtech,2,Yes
stu,pha,mtech,2,asgn,pha,mtech,2,Yes
stu,chem,mtech,2,asgn,chem,mtech,2,Yes
officer,accounts,NotA,NotA,dept_bud,cse,NotA,NotA,Yes
officer,accounts,NotA,NotA,dept_bud,ece,NotA,NotA,Yes
officer,accounts,NotA,NotA,dept_bud,me,NotA,NotA,Yes
officer,accounts,NotA,NotA,dept_bud,ce,NotA,NotA,Yes
prof,cse,NotA,NotA,dept_bud,cse,NotA,NotA,Yes
prof,ece,NotA,NotA,dept_bud,cse,NotA,NotA,No
prof,me,NotA,NotA,dept_bud,cse,NotA,NotA,No
prof,ce,NotA,NotA,dept_bud,cse,NotA,NotA,No
prof,cse,NotA,NotA,dept_bud,ece,NotA,NotA,No
prof,ece,NotA,NotA,dept_bud,ece,NotA,NotA,Yes
prof,me,NotA,NotA,dept_bud,ece,NotA,NotA,No
prof,ce,NotA,NotA,dept_bud,ece,NotA,NotA,No
prof,cse,NotA,NotA,dept_bud,me,NotA,NotA,No
prof,ece,NotA,NotA,dept_bud,me,NotA,NotA,No
prof,me,NotA,NotA,dept_bud,me,NotA,NotA,Yes
prof,ce,NotA,NotA,dept_bud,me,NotA,NotA,No
prof,cse,NotA,NotA,dept_bud,ce,NotA,NotA,No
prof,ece,NotA,NotA,dept_bud,ce,NotA,NotA,No
prof,me,NotA,NotA,dept_bud,ce,NotA,NotA,No
prof,ce,NotA,NotA,dept_bud,ce,NotA,NotA,Yes
stu,cse,BE,1,asgn,cse,BE,1,Yes
stu,ece,BE,1,asgn,ece,BE,1,Yes
stu,ce,BE,1,asgn,ce,BE,1,Yes
stu,me,BE,1,asgn,me,BE,1,Yes
stu,cse,BE,2,asgn,cse,BE,1,No
stu,ece,BE,2,asgn,ece,BE,1,No
stu,ce,BE,2,asgn,ce,BE,1,No
stu,me,BE,2,asgn,me,BE,1,No
stu,cse,BE,2,asgn,cse,BE,2,Yes
stu,ece,BE,2,asgn,ece,BE,2,Yes
stu,ce,BE,2,asgn,ce,BE,2,Yes
stu,me,BE,2,asgn,me,BE,2,Yes
stu,cse,BE,3,asgn,cse,BE,1,No
stu,ece,BE,3,asgn,ece,BE,1,No
stu,ce,BE,3,asgn,ce,BE,1,No
stu,me,BE,3,asgn,me,BE,1,No
stu,cse,BE,3,asgn,cse,BE,2,No
stu,ece,BE,3,asgn,ece,BE,2,No
stu,ce,BE,3,asgn,ce,BE,2,No
stu,me,BE,3,asgn,me,BE,2,No
stu,cse,BE,3,asgn,cse,BE,3,Yes
stu,ece,BE,3,asgn,ece,BE,3,Yes
stu,ce,BE,3,asgn,ce,BE,3,Yes
stu,me,BE,3,asgn,me,BE,3,Yes
stu,cse,BE,4,asgn,cse,BE,1,No
stu,ece,BE,4,asgn,ece,BE,1,No
stu,ce,BE,4,asgn,ce,BE,1,No
stu,me,BE,4,asgn,me,BE,1,No
stu,cse,BE,4,asgn,cse,BE,2,No
stu,ece,BE,4,asgn,ece,BE,2,No
stu,ce,BE,4,asgn,ce,BE,2,No
stu,me,BE,4,asgn,me,BE,2,No
stu,cse,BE,4,asgn,cse,BE,3,No
stu,ece,BE,4,asgn,ece,BE,3,No
stu,ce,BE,4,asgn,ce,BE,3,No
stu,me,BE,4,asgn,me,BE,3,No
stu,cse,BE,4,asgn,cse,BE,4,Yes
stu,ece,BE,4,asgn,ece,BE,4,Yes
stu,ce,BE,4,asgn,ce,BE,4,Yes
stu,me,BE,4,asgn,me,BE,4,Yes
stu,cse,ME,1,asgn,cse,ME,1,Yes
stu,ece,ME,1,asgn,ece,ME,1,Yes
stu,ce,ME,1,asgn,ce,ME,1,Yes
stu,me,ME,1,asgn,me,ME,1,Yes
stu,cse,ME,2,asgn,cse,ME,1,No
stu,ece,ME,2,asgn,ece,ME,1,No
stu,ce,ME,2,asgn,ce,ME,1,No
stu,me,ME,2,asgn,me,ME,1,No
stu,cse,ME,2,asgn,cse,ME,2,Yes
stu,ece,ME,2,asgn,ece,ME,2,Yes
stu,ce,ME,2,asgn,ce,ME,2,Yes
stu,me,ME,2,asgn,me,ME,2,Yes
stu,IT,btech,1,asgn,IT,btech,2,No
stu,IT,btech,1,asgn,IT,btech,3,No
stu,IT,btech,1,asgn,IT,btech,4,No
stu,IT,btech,2,asgn,IT,btech,3,No
stu,IT,btech,2,asgn,IT,btech,4,No
stu,IT,btech,3,asgn,IT,btech,4,No
officer,accounts,NotA,NotA,q_pr,IT,mtech,3,No
officer,accounts,NotA,NotA,q_pr,IT,mtech,4,No
officer,accounts,NotA,NotA,q_pr,chem,mtech,3,No
officer,accounts,NotA,NotA,q_pr,chem,mtech,4,No
officer,accounts,NotA,NotA,q_pr,pha,mtech,3,No
officer,accounts,NotA,NotA,q_pr,pha,mtech,4,No
officer,accounts,NotA,NotA,q_pr,eni,mtech,3,No
officer,accounts,NotA,NotA,q_pr,eni,mtech,4,No
stu,cse,mtech,1,dept_bud,cse,NotA,NotA,No
stu,cse,mtech,2,dept_bud,cse,NotA,NotA,No
stu,cse,mtech,1,dept_bud,eni,NotA,NotA,No
stu,cse,mtech,2,dept_bud,eni,NotA,NotA,No
stu,cse,mtech,1,dept_bud,pha,NotA,NotA,No
stu,cse,mtech,2,dept_bud,pha,NotA,NotA,No
stu,cse,mtech,1,dept_bud,chem,NotA,NotA,No
stu,cse,mtech,2,dept_bud,chem,NotA,NotA,No
stu,ece,mtech,1,dept_bud,cse,NotA,NotA,No
stu,ece,mtech,2,dept_bud,cse,NotA,NotA,No
stu,ece,mtech,1,dept_bud,eni,NotA,NotA,No
stu,ece,mtech,2,dept_bud,eni,NotA,NotA,No
stu,ece,mtech,1,dept_bud,pha,NotA,NotA,No
stu,ece,mtech,2,dept_bud,pha,NotA,NotA,No
stu,ece,mtech,1,dept_bud,chem,NotA,NotA,No
stu,ece,mtech,2,dept_bud,chem,NotA,NotA,No
stu,me,mtech,1,dept_bud,cse,NotA,NotA,No
stu,me,mtech,2,dept_bud,cse,NotA,NotA,No
stu,me,mtech,1,dept_bud,eni,NotA,NotA,No
stu,me,mtech,2,dept_bud,eni,NotA,NotA,No
stu,me,mtech,1,dept_bud,pha,NotA,NotA,No
stu,me,mtech,2,dept_bud,pha,NotA,NotA,No
stu,me,mtech,1,dept_bud,chem,NotA,NotA,No
stu,me,mtech,2,dept_bud,chem,NotA,NotA,No
stu,ce,mtech,1,dept_bud,cse,NotA,NotA,No
stu,ce,mtech,2,dept_bud,cse,NotA,NotA,No
stu,ce,mtech,1,dept_bud,eni,NotA,NotA,No
